Front,Back
What is going on everybody — TL;DR,What is going on everybody?
What is going on everybody — Key point 1,Welcome back to The Common Coder.
What is going on everybody — Key point 2,My name is Josh and in this video I'm going to be showing you how to use Git with Visual Studio Code.
What is going on everybody — Key point 3,So let's go ahead and get started.
"All right, so before we get started, we do need to go over a couple of — TL;DR","All right, so before we get started, we do need to go over a couple of prerequisites in order to follow along with this video."
"All right, so before we get started, we do need to go over a couple of — Key point 1",So the first thing that you'll need to do is make sure you have VS Code installed.
"All right, so before we get started, we do need to go over a couple of — Key point 2",The next thing you'll need to do is make sure that you have Git installed.
"All right, so before we get started, we do need to go over a couple of — Key point 3","And then optionally, depending on how far you want to go with this video, you'll need to make sure that you have a GitHub account created."
"All right, so before we get started, we do need to go over a couple of — Key point 4",And you'll need to make sure you set up your SSH keys for GitHub so that way you can connect from VS Code or from Git to your GitHub accoun….
So those parts are optional — TL;DR,So those parts are optional.
So those parts are optional — Key point 1,We're mainly going to be covering the Git tooling as it pertains to working with Git inside of VS Code.
So those parts are optional — Key point 2,"But we are going to cover some GitHub-specific features like how to push a branch to GitHub, how to clone things like that."
So those parts are optional — Key point 3,So I'd recommend you have all of these set up.
So those parts are optional — Key point 4,"And if you need any help with that, I have videos for every single one of these topics, which I'll link down in the description below."
So those parts are optional — Key point 5,"Alright, so with all that out of the way, let's go ahead and start working with Git inside of Visual Studio Code."
And what we're going to do is create a folder for our project — TL;DR,And what we're going to do is create a folder for our project.
And what we're going to do is create a folder for our project — Key point 1,"So when working with Visual Studio Code and with Git, your projects are literally just folders."
And what we're going to do is create a folder for our project — Key point 2,It's a collection of files and folders.
And what we're going to do is create a folder for our project — Key point 3,And Visual Studio Code can open these and you can work with those files inside of those folders.
And what we're going to do is create a folder for our project — Key point 4,And then Git basically initializes a repository inside of that folder and keeps track of those changes inside of a special folder called .g….
And what we're going to do is create a folder for our project — Key point 5,"So it's a little bit out of scope of this course, but just want to let you know what's going on behind the scenes."
Now I like to keep all my projects inside of a folder called code — TL;DR,Now I like to keep all my projects inside of a folder called code.
Now I like to keep all my projects inside of a folder called code — Key point 1,So I'm going to go ahead and cd into my code directory.
Now I like to keep all my projects inside of a folder called code — Key point 2,"And inside of here, I'm going to go ahead and make a new directory using the makedir command."
Now I like to keep all my projects inside of a folder called code — Key point 3,And I'm going to call this vscode-git.
Now I like to keep all my projects inside of a folder called code — Key point 4,And then I'm going to go ahead and cd into that directory.
And then I'm going to go ahead and open this folder inside of vscode — TL;DR,And then I'm going to go ahead and open this folder inside of vscode.
And then I'm going to go ahead and open this folder inside of vscode — Key point 1,And I can do that by typing code.
And then I'm going to go ahead and open this folder inside of vscode — Key point 2,"Now if you're working on Windows and you've installed Git and vscode, it should have installed that code command for you in the path."
And then I'm going to go ahead and open this folder inside of vscode — Key point 3,"If not, you might have to go back through your installation or manually add the code command into your computer's path."
And then I'm going to go ahead and open this folder inside of vscode — Key point 4,"And if you're on Mac, there's actually a very easy way to do that."
You can do it from the command palette inside of vscode — TL;DR,You can do it from the command palette inside of vscode.
You can do it from the command palette inside of vscode — Key point 1,"So now that I've opened this folder, you can see that there's no files in it here inside of my file explorer."
You can do it from the command palette inside of vscode — Key point 2,And what we want to do is go ahead and initialize this as a new Git repository.
You can do it from the command palette inside of vscode — Key point 3,"To do that, what we can do is go ahead and go into the source control panel over here on the left."
And you can see that we don't have a repository initialized — TL;DR,And you can see that we don't have a repository initialized.
And you can see that we don't have a repository initialized — Key point 1,"Otherwise, we would see the status of our repository."
And you can see that we don't have a repository initialized — Key point 2,"Instead, we get this big blue button that says initialize repository and a link to some documentation for vscode and Git source control."
And you can see that we don't have a repository initialized — Key point 3,"And you can see if we're also connected to GitHub, we can also publish that repository, basically push the repository up to GitHub."
"So we're going to focus on repository creation, working with local fil — TL;DR","So we're going to focus on repository creation, working with local files."
"So we're going to focus on repository creation, working with local fil — Key point 1","And at the very end, we'll go ahead and talk about how to work with GitHub."
"So we're going to focus on repository creation, working with local fil — Key point 2",So what I'm going to do is go ahead and click this blue initialize repository button.
"So we're going to focus on repository creation, working with local fil — Key point 3",And you can see that it has changed the screen here.
"So we're going to focus on repository creation, working with local fil — Key point 4",And I have an option for my commit message.
"So we're going to focus on repository creation, working with local fil — Key point 5",I can publish my branch if I'm connected to GitHub.
"And then down here in the bottom left hand corner, you can see that ou — TL;DR","And then down here in the bottom left hand corner, you can see that our repository has been initialized with a default branch called main."
"And then down here in the bottom left hand corner, you can see that ou — Key point 1",And we're ready to start working with Git source control inside of vscode.
"And then down here in the bottom left hand corner, you can see that ou — Key point 2",So clicking that button to initialize the repository is the equivalent of running the git init command inside of the command line.
"And then down here in the bottom left hand corner, you can see that ou — Key point 3",And what I'm going to actually go ahead and do for the remainder of this video is open up the terminal.
"And then down here in the bottom left hand corner, you can see that ou — Key point 4",So I can click on the terminal window up here at the top and click new terminal.
"And then down here in the bottom left hand corner, you can see that ou — Key point 5",I can also press control tilde to toggle my terminal open and closed.
And that's going to stub out a basic HTML file for me — TL;DR,And that's going to stub out a basic HTML file for me.
And that's going to stub out a basic HTML file for me — Key point 1,And I'll go ahead and say hello from VS code and git.
And that's going to stub out a basic HTML file for me — Key point 2,And I'm just going to go ahead and copy this and also put this inside of a paragraph inside of my body.
And that's going to stub out a basic HTML file for me — Key point 3,And that way we have some code to work with.
"now if we go back and look at the source control panel, you can see th — TL;DR","now if we go back and look at the source control panel, you can see that there are things happening inside as I work with my files and folders."
"now if we go back and look at the source control panel, you can see th — Key point 1","now if we go back and look at the source control panel, you can see that there are things happening inside as I work with my files and fold…."
"now if we go back and look at the source control panel, you can see th — Key point 2",So git is all about tracking changes to your source code and letting you know what the status of those changes are.
"now if we go back and look at the source control panel, you can see th — Key point 3","And when we're happy with those changes, we can actually commit those changes as a snapshot essentially of what that file looks like at any…."
So what's happened as of right now is I've created a file and we can s — TL;DR,"So what's happened as of right now is I've created a file and we can see over here on the left hand side, we have this u here, which indicates that there's a n…"
So what's happened as of right now is I've created a file and we can s — Key point 1,"So what's happened as of right now is I've created a file and we can see over here on the left hand side, we have this u here, which indica…."
So what's happened as of right now is I've created a file and we can s — Key point 2,It is untracked.
So what's happened as of right now is I've created a file and we can s — Key point 3,"So the repository recognizes there's something there, but as of right now, it's not a tracked file."
So what's happened as of right now is I've created a file and we can s — Key point 4,"So I can't see any history from, you know, versions of that file previously."
So what's happened as of right now is I've created a file and we can s — Key point 5,It's a brand new file.
So what's happened as of right now is I've created a file and we can s — Key point 6,I've never committed this file to the repository.
"Okay, so this is the using that plus is the equivalent of running git — TL;DR","Okay, so this is the using that plus is the equivalent of running git add with either an individual file or a collection of files."
"Okay, so this is the using that plus is the equivalent of running git — Key point 1","And say if we had more than one file here on the upper level changes here, we can also use this plus button, which will stage all the chang…."
"Okay, so this is the using that plus is the equivalent of running git — Key point 2",So I've had multiple files.
"Okay, so this is the using that plus is the equivalent of running git — Key point 3",Let's go ahead and just emulate that real quick here.
"Okay, so this is the using that plus is the equivalent of running git — Key point 4",Let's go ahead and create a CSS file called styles.css.
"Okay, so this is the using that plus is the equivalent of running git — Key point 5",And we'll go ahead and just link this style sheet using a link tag here.
And it's going to be dot slash styles — TL;DR,And it's going to be dot slash styles.
And it's going to be dot slash styles — Key point 1,"All right, so you can see now I have two files in my source control panel."
And it's going to be dot slash styles — Key point 2,And I can stage them individually.
And it's going to be dot slash styles — Key point 3,"So that would be, you know, git add index HTML or git add styles.css."
